time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-01-04T17:21:58.400Z,37.4555,-118.8418333,2.738,0.68,md,11,127,0.1351,0.04,nc,nc72136121,2017-02-02T19:49:32.845Z,"15 km SW of Aspen Springs, California",earthquake,0.47,31.61,0.098,9,reviewed,nc,nc
2014-01-04T17:18:37.430Z,38.7585,-122.7176667,1.29,1.08,md,44,42,0.01441,0.05,nc,nc72136111,2017-02-02T19:49:26.444Z,"7 km S of Cobb, California",earthquake,0.11,0.2,0.061,13,reviewed,nc,nc
2014-01-04T17:04:51.790Z,33.6676667,-116.7736667,14.691,0.32,ml,15,128,0.06591,0.13,ci,ci11410082,2016-03-11T04:03:09.130Z,"10km SSW of Idyllwild, CA",earthquake,0.43,0.65,0.046,4,reviewed,ci,ci
2014-01-04T16:59:11.540Z,36.0438333,-119.9723333,9.887,1.71,md,39,151,0.1126,0.13,nc,nc72136106,2017-02-02T19:49:19.050Z,"4 km NNW of Kettleman City, California",earthquake,0.36,0.7,0.143,22,reviewed,nc,nc
2014-01-04T16:52:44.520Z,38.7888333,-122.7443333,1.05,1.59,md,46,77,0.008108,0.04,nc,nc72136101,2017-02-02T19:49:09.010Z,"4 km SSW of Cobb, California",earthquake,0.11,0.17,0.159,15,reviewed,nc,nc
2014-01-04T16:50:19.342Z,63.008,-150.9611,108.8,1.7,ml,,,,0.4,ak,ak0146vz2y6,2019-05-20T22:46:38.058Z,"57 km N of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2014-01-04T16:43:58.928Z,36.7774,-116.2711,0,0.5,ml,5,216.84,0.068,0.135,nn,nn00433331,2018-06-29T22:59:53.270Z,"45 km ESE of Beatty, Nevada",earthquake,,0,0.45,2,reviewed,nn,nn
2014-01-04T16:33:51.361Z,62.3617,-149.3217,54.8,1.3,ml,,,,0.41,ak,ak0146vvi8w,2019-05-20T22:46:37.617Z,"35 km NE of Susitna North, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2014-01-04T16:29:22.380Z,47.5005,-123.0066667,10.801,0.01,md,6,230,0.06569,0.09,uw,uw60666246,2016-07-22T19:22:03.260Z,"14 km NE of Hoodsport, Washington",earthquake,0.49,0.87,0.068,5,reviewed,uw,uw
2014-01-04T16:11:15.640Z,33.5206667,-116.7586667,3.749,0.47,ml,22,94,0.04805,0.09,ci,ci11410074,2016-03-11T05:54:23.353Z,"9km WSW of Anza, CA",earthquake,0.21,0.31,0.248,7,reviewed,ci,ci
2014-01-04T16:10:19.610Z,47.2887,153.0806,66.89,4.9,mb,,102,6.535,0.82,us,usc000lwuv,2014-03-07T00:25:58.000Z,"Kuril Islands",earthquake,,3.4,0.064,79,reviewed,us,us
2014-01-04T16:00:07.080Z,32.8703333,-115.4956667,9.732,2.13,ml,20,94,0.05095,0.14,ci,ci11410066,2016-03-11T13:01:32.213Z,"7km ENE of Imperial, CA",earthquake,0.42,0.73,0.151,36,reviewed,ci,ci
2014-01-04T15:59:44.440Z,37.606,-118.4291667,7.325,1.3,md,27,84,0.05946,0.07,nc,nc72136096,2018-06-29T22:59:54.300Z,"21 km ENE of Swall Meadows, California",earthquake,0.26,0.58,0.187,24,reviewed,nc,nc
2014-01-04T15:57:54.621Z,60.3737,-151.8846,82.9,1.6,ml,,,,0.47,ak,ak0146vf82u,2019-05-20T22:46:37.147Z,"31 km WNW of Clam Gulch, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2014-01-04T15:51:00.540Z,35.6638333,-118.4616667,8.688,0.79,ml,20,67,0.01012,0.11,ci,ci11410058,2016-03-11T05:54:22.026Z,"5km S of Wofford Heights, CA",earthquake,0.37,0.31,0.071,3,reviewed,ci,ci
2014-01-04T15:49:27.060Z,38.8011665,-122.8164978,2.703,1.02,md,22,117,0.01261,0.02,nc,nc72136091,2017-02-02T19:48:46.478Z,"8 km WSW of Cobb, California",earthquake,0.26,0.4,0.14,6,automatic,nc,nc
2014-01-04T15:46:40.250Z,33.1615,-115.9526667,5.018,1.04,ml,16,65,0.1178,0.18,ci,ci11410050,2016-03-11T02:14:14.931Z,"15km S of Salton City, CA",earthquake,0.46,18.85,0.124,15,reviewed,ci,ci
2014-01-04T15:35:52.580Z,33.5018333,-116.4673333,8.7,0.54,ml,21,126,0.0409,0.14,ci,ci11410042,2016-03-11T20:41:05.036Z,"20km ESE of Anza, CA",earthquake,0.33,0.63,0.058,9,reviewed,ci,ci
2014-01-04T15:35:27.588Z,37.1728,-115.3291,0,1,ml,7,186.58,0.322,0.1166,nn,nn00433054,2018-06-29T22:59:52.702Z,"25 km SW of Alamo, Nevada",earthquake,,0,0.58,4,reviewed,nn,nn
2014-01-04T15:23:51.719Z,39.4296,-120.1962,8.4,-0.7,ml,5,93.12,0.075,0.094,nn,nn00433328,2018-06-29T22:59:52.977Z,"11 km N of Truckee, California",earthquake,,4.7,0.35,2,reviewed,nn,nn
2014-01-04T15:23:14.010Z,47.8947,147.4547,438.81,4,mb,,136,3.321,0.66,us,usc000lwu9,2014-03-07T00:25:58.000Z,"298 km N of Kuril’sk, Russia",earthquake,,7.2,0.258,7,reviewed,us,us
2014-01-04T15:19:23.760Z,38.8133316,-122.8288345,2.225,1.04,md,18,74,0.004505,0.02,nc,nc72136081,2017-02-02T19:48:40.429Z,"9 km W of Cobb, California",earthquake,0.25,0.47,0.05,6,automatic,nc,nc
2014-01-04T15:12:32.400Z,37.3074,69.151,23.64,4.6,mb,,85,1.347,1.36,us,usc000lwu5,2014-03-07T00:25:58.000Z,"9 km NNE of Panj, Tajikistan",earthquake,,6.6,0.272,5,reviewed,us,us
2014-01-04T15:02:35.180Z,-31.5271,-68.6098,67.07,4,mb,,153,2.316,0.16,us,usb000m8x7,2014-03-07T00:25:58.000Z,"7 km W of San Juan, Argentina",earthquake,,20.2,0.3,3,reviewed,us,us
2014-01-04T15:00:49.434Z,60.4407,-152.3898,81.6,1.4,ml,,,,0.5,ak,ak0146v2zv3,2019-05-20T22:46:36.157Z,"59 km NW of Ninilchik, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2014-01-04T14:55:39.460Z,37.528,-120.046,23.654,1.71,md,5,202,0.264,0.07,nc,nc72136076,2017-02-02T19:48:34.315Z,"7 km SE of Bear Valley, California",earthquake,0.62,0.9,0.109,4,reviewed,nc,nc
2014-01-04T14:55:32.020Z,63.6289,-149.7278,117.9,1.2,ml,,,,0.4,ak,ak0146utbaq,2019-05-20T22:46:35.676Z,"41 km WSW of McKinley Park, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2014-01-04T14:43:51.330Z,34.0016667,-117.1968333,9.381,0.76,ml,14,117,0.1133,0.11,ci,ci11410034,2016-03-11T20:41:03.583Z,"6km SSW of Redlands, CA",earthquake,0.42,1.01,0.108,8,reviewed,ci,ci
2014-01-04T14:27:16.070Z,36.6758,71.0772,221.78,4.1,mb,,83,2.397,1.2,us,usc000lwty,2014-03-07T00:25:58.000Z,"30 km SE of Jurm, Afghanistan",earthquake,,8,0.301,5,reviewed,us,us
2014-01-04T14:26:21.957Z,60.2866,-151.2119,69.5,1.7,ml,,,,0.56,ak,ak0146un2r7,2019-05-20T22:46:35.221Z,"6 km SSE of Kasilof, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2014-01-04T14:08:15.490Z,38.8753333,-122.814,1.37,1.69,md,55,56,0.003604,0.06,nc,nc72136066,2017-02-02T19:48:26.850Z,"9 km NW of Cobb, California",earthquake,0.17,0.21,0.161,24,reviewed,nc,nc
2014-01-04T13:50:13.050Z,36.0041667,-117.8298333,4.513,0.55,ml,6,209,0.02752,0.25,ci,ci11410026,2016-03-11T07:41:16.705Z,"10km NE of Little Lake, CA",earthquake,2.15,1.28,0.093,1,reviewed,ci,ci
2014-01-04T13:30:41.610Z,19.3815,-155.242833333333,1.44,0.84,md,21,84,,0.09,hv,hv60615716,2020-11-25T03:47:28.190Z,"6 km S of Volcano, Hawaii",earthquake,0.18,0.23,0.175460821354055,6,reviewed,hv,hv
2014-01-04T13:18:49.930Z,38.7686653,-122.7323303,0.859,0.53,md,7,124,0.01261,0.02,nc,nc72136061,2017-02-02T19:48:17.902Z,"5 km S of Cobb, California",earthquake,0.43,0.85,0.44,2,automatic,nc,nc
2014-01-04T13:14:55.370Z,-23.924,179.4324,545.11,4.5,mb,,199,6.281,0.95,us,usb000m4qr,2014-03-07T00:25:58.000Z,"south of the Fiji Islands",earthquake,,20.1,0.145,15,reviewed,us,us
